PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
Vx50w,b4rk1/4p1b1/1Q2P2B/1p1q1p1R/2pP2p1/2P2P2/2B3P1/4K3 b - - 1 25,g4f3 h5g5 f3g2 h6g7,2177,99,72,21,crushing middlegame pin short,https://lichess.org/wAdfTFPU/black#50,
XQJ8y,3r3r/1p1k2pp/4ppn1/3pPb2/Q1pP4/R1P2N2/1q1N1PPP/5RK1 b - - 2 19,d7c7 d2c4 d5c4 a4c4 c7d7 a3b3 b2b3 c4b3,2356,81,86,238,crushing middlegame veryLong,https://lichess.org/rdRjRtzt/black#38,Scandinavian_Defense Scandinavian_Defense_Other_variations
S3sy3,7k/p1qn1ppp/8/5N2/3P4/3QP3/rr3PPP/R3KB1R w KQ - 0 20,a1a2 c7c1 d3d1 c1c3 d1d2 c3d2,1934,95,56,24,long mate mateIn3 middlegame,https://lichess.org/UWK99BDA#39,
EzkuT,8/4k3/2p5/p1P2K2/Pr3R2/8/8/8 w - - 6 46,f5e5 b4f4 e5f4 e7f6 f4e4 f6e6,1980,98,78,29,crushing defensiveMove endgame long rookEndgame zugzwang,https://lichess.org/V0Cdm4co#91,
N3lh3,2b5/8/2p5/P1p3pp/2P1pk1P/1P2N3/5K2/8 w - - 0 52,h4g5 f4g5 e3d1 g5f4,2141,76,99,137,crushing defensiveMove endgame short,https://lichess.org/IOKANx7q#103,
nqhAq,8/4n3/8/1p1nk2P/1P2N3/2PpPB1q/3Q4/5K2 w - - 4 53,f3g2 d5e3 f1g1 h3g2 d2g2 e3g2,2010,81,91,1858,crushing endgame exposedKing fork long,https://lichess.org/MWztwVv8#105,
Cgc23,3rr1k1/p1p2pbp/1p1q2p1/3n4/2BP4/1P2BQ1P/P3RPP1/4R1K1 b - - 6 20,d5e3 c4f7 g8h8 f7e8,2004,77,91,1695,advantage fork middlegame short,https://lichess.org/Xy5Ceu60/black#40,
jEZZs,7k/8/p2n3p/4bP2/P7/8/4BP1p/1N5K w - - 3 44,e2a6 d6e4 f2f4 e5f4,1902,76,88,1052,crushing endgame short,https://lichess.org/ulrUmc5c#87,
r5p1n,6rk/1q4rp/p3P2Q/2p3nR/Pp1p2pN/6P1/1PP2P1K/7R b - - 2 37,g8f8 h5g5 f8f2 h2g1 f2f1 g1f1,2350,81,77,77,crushing long master middlegame,https://lichess.org/KF20WQSS/black#74,
sRlYj,5rk1/p7/1p2N2p/3p4/4n3/4n3/P5PP/B1R4K b - - 3 35,f8f7 c1c8 g8h7 e6f8 f7f8 c8f8,1994,82,89,1108,advantage endgame exposedKing long,https://lichess.org/wkLmKNKO/black#70,
R2UMJ,3n1k2/2R3R1/p1q4p/5p2/P7/5PP1/6KP/8 b - - 4 39,c6d6 g7d7 d6f6 c7c8,2086,80,82,41,crushing endgame master short,https://lichess.org/zYVWvDJl/black#78,
Df1Zs,5rk1/2p3pp/1pq5/4Q3/8/1P5P/2P2PP1/4R1K1 b - - 0 24,c6c2 e5d5 g8h8 d5f7,2346,93,83,203,crushing endgame short,https://lichess.org/zT1IrKav/black#48,
iWhq6,8/8/3N2P1/4n2P/k7/1p6/6K1/8 b - - 0 50,e5g6 h5g6 b3b2 d6e4 a4b3 e4d2 b3c3 d2b1,2185,82,85,69,crushing endgame hangingPiece knightEndgame quietMove veryLong,https://lichess.org/hz5b0VZC/black#100,
PlcdM,1r4k1/7p/4P3/1p6/pN2n3/8/7P/3R2K1 b - - 0 30,g8f8 e6e7 f8e7 b4c6 e7e6 c6b8,2067,81,33,38,advancedPawn attraction crushing endgame exposedKing fork long,https://lichess.org/vSYTWB97/black#60,
bhVCg,rn1q1rk1/1b3p1p/4pp1B/p1pnP3/PbB5/5N2/1P2QPPP/R2R2K1 b - - 1 15,f6e5 c4d5 b7d5 e2e5 f7f6 e5g3 g8f7 g3g7,2143,146,54,12,advantage intermezzo kingsideAttack middlegame veryLong,https://lichess.org/kOKERS1s/black#30,Queens_Gambit_Accepted Queens_Gambit_Accepted_Alekhine_Defense
dQtAQ,4r3/pp1n2kp/1qpQ1np1/3p4/1P4N1/P4BP1/2PK1P1P/R6R w - - 3 24,g4f6 b6d4 d2c1 d4a1 c1d2 a1d4,2153,82,91,1357,advantage interference long middlegame,https://lichess.org/gEwnzEav#47,
jHgLk,8/8/5ppp/1p1k4/1P3PP1/3K3P/8/8 b - - 0 44,h6h5 f4f5 h5g4 f5g6 d5e6 h3g4,2038,74,95,1991,crushing endgame long pawnEndgame,https://lichess.org/09OjHdeI/black#88,
y1vEf,r4rk1/pp6/3p3Q/2p2qNp/2PbN1bP/8/PP4P1/2K1R2R w - - 4 28,h1f1 d4e3 e4d2 f5d3 h6h7 d3h7 f1f8 a8f8,2225,95,85,27,advantage middlegame veryLong,https://lichess.org/4scYz1dY#55,
RXSOa,r3k1r1/2p2p2/pN1p3p/1p5b/4Pp1q/1B3P1P/PP3P1K/R2QR3 w q - 3 23,d1e2 g8g3 f2g3 h4g3 h2h1 h5f3 e2f3 g3f3,1993,75,84,238,crushing fork middlegame sacrifice veryLong,https://lichess.org/7rKV1xqt#45,
NfgUV,4rr2/2Q2p1k/2Pp3p/6p1/2q5/2N2P1P/1P4K1/2B4R w - - 3 27,c3e4 e8e4 f3e4 c4e4,1916,76,87,445,crushing middlegame short,https://lichess.org/SJN3YfXr#53,
JHVDb,rn2kb1r/ppq1pQpp/2p5/3nP3/2N5/3BB3/P1P3PP/5RK1 b kq - 0 13,e8d8 f7f8 h8f8 f1f8 d8d7 e5e6 d7e6 d3f5,2318,78,95,9186,attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/9f3oFQvz/black#26,Caro-Kann_Defense Caro-Kann_Defense_Maroczy_Variation
0MYzs,1k4rr/p1p2p2/1p1p1n1p/1P2q3/4P3/4Q3/1PP2PPP/R1B2RK1 w - - 0 20,e3a3 g8g2 g1g2 e5e4 g2g1 h8g8,2166,91,69,26,advantage attraction kingsideAttack long middlegame sacrifice,https://lichess.org/JJJTkKs1#39,
7tOmm,4r1k1/2R1pp1p/p2p2pB/3P2P1/1p2P3/7P/r6b/2R4K b - - 4 26,f7f6 c7e7 e8e7 c1c8 e7e8 c8e8 g8f7 e8f8 f7e7 g5f6,2317,76,80,191,advantage clearance endgame sacrifice veryLong,https://lichess.org/0wNAaQH1/black#52,
EQ58H,r6r/p1p2k1p/4q1p1/1Q1pp1B1/8/8/PPP3PP/5RK1 b - - 1 20,f7g8 f1f6 e6f6 g5f6,2049,76,94,3100,crushing endgame short,https://lichess.org/lu2T6nWX/black#40,
bjze6,2Q5/5Rbk/p6p/1p1p4/2pPq3/7P/6PK/8 b - - 0 44,e4d4 c8f5 h7g8 f7e7 d4f6 e7e8,2313,81,91,2785,advantage endgame long,https://lichess.org/UeHvCk4J/black#88,
TzX1e,7k/6pp/3q4/p7/4Q3/1b4P1/2p2P1P/2R3K1 w - - 0 39,c1c2 d6d1 g1g2 d1c2 e4a8 b3g8,1943,79,92,1248,crushing endgame long,https://lichess.org/0eoMSvbW#77,
Ii0Tn,2r4r/6pp/1k6/p3p3/PbB5/2NP1b2/1PKBNq1n/R2Q4 b - - 6 26,e5e4 d2e3 f2e3 c3d5 b6b7 d5e3,1954,77,96,1434,advantage attraction fork long middlegame sacrifice,https://lichess.org/znNifBuH/black#52,
fiKgQ,r5k1/np3rp1/1b5B/pp6/P3P1b1/1BPq4/3N3Q/R3KR2 b Q - 2 22,a8f8 f1f7 f8f7 b3f7 g8f7 h2f4,2318,86,89,557,advantage attraction kingsideAttack long middlegame,https://lichess.org/QxWRBHIx/black#44,
gQxnn,8/p4K2/8/3pPk2/2pP1pn1/2P5/P4N2/8 w - - 5 39,e5e6 g4f2 e6e7 f2e4,2142,77,76,51,endgame,https://lichess.org/5BvVTR6H#77,
neRob,1k3r2/p4qp1/1p2p1N1/1P1pP1b1/3Q1B2/8/1P3K2/2R5 w - - 2 33,g6f8 g5f4 f8d7 b8b7 d7f6 f4c1,1966,75,81,106,crushing endgame long,https://lichess.org/9ydlg6tH#65,
lI8bY,2r3k1/R4p2/3Pp2n/5qp1/2rP3p/1RP1Q1B1/5P1P/6K1 w - - 0 33,g3e5 h6g4 e3e2 g4e5 e2e5 f5g4 g1f1 g4d1,2388,85,77,80,clearance crushing master middlegame veryLong,https://lichess.org/Jvc8oFLg#65,
pyivn,rnb1kr2/p6p/2p3p1/b1Np1p2/5q1P/1R1B4/PB2Q1K1/7R b q - 5 26,e8f7 b3b7 a5c7 b2e5 c8b7 e5f4,2147,74,94,2598,crushing long middlegame,https://lichess.org/WPxzLNO7/black#52,
0c2yC,1b2r1k1/1p2r1p1/2p1Ppnp/8/1P6/2PN1QPq/3B3P/4RR1K b - - 0 31,e7e6 d3f2 g6e5 f2h3 e5f3 e1e6 e8e6 f1f3,2278,74,93,275,advantage middlegame trappedPiece veryLong,https://lichess.org/chWA6bHM/black#62,
LORfM,r6k/p5pp/1p6/1P3p1q/2Q3N1/P3PK2/1B1r1P2/R4R2 w - - 3 29,b2e5 h5h3 e5g3 f5g4 c4g4 a8f8,2325,86,89,1083,crushing long middlegame,https://lichess.org/iBL0xlPf#57,
mLrJA,3Q4/4ppk1/3p1q1p/2pPnB1P/4P3/6BK/4b1P1/8 b - - 4 40,e2h5 g3h4 h5g4 h3g3 g4f5 h4f6,1916,110,74,26,crushing defensiveMove endgame long master trappedPiece,https://lichess.org/dMk0xcYb/black#80,
AtIFZ,1Q6/4qppk/4p2p/3pP3/1P1P4/p2n1NKP/P4rP1/1R6 w - - 4 33,b1b3 f2f3 g3f3 e7h4 b3d3 h4e4 f3f2 e4d3,2331,98,90,670,crushing endgame fork sacrifice veryLong,https://lichess.org/2O2JhOT8#65,
O9SHZ,r5k1/1p2q1p1/p2Np2r/2pnPp1p/3p1P2/1P1P1Q1P/P1P2PRK/R7 b - - 5 21,e7h4 d6f5 h4f4 f3f4 d5f4 f5h6,1997,83,92,3172,crushing kingsideAttack long middlegame pin,https://lichess.org/Y5jYePfb/black#42,
S0EWW,8/7P/6P1/3k2q1/8/8/7R/7K b - - 10 59,g5g6 h2d2 d5c4 h7h8q g6e4 d2g2,2228,95,90,1875,advancedPawn crushing defensiveMove endgame long promotion queenRookEndgame,https://lichess.org/dxLSr9JG/black#118,
FRkc4,8/4k3/4p3/4Pp1p/5P1P/5K2/4N3/4b3 w - - 9 55,e2g3 e1g3 f3g3 e7d7 g3f2 d7c6 f2e2 c6c5 e2d3 c5d5,1948,81,75,57,crushing endgame veryLong zugzwang,https://lichess.org/dFNGTvrp#109,
0hP0H,4r1k1/Q5p1/2p1q2p/3p4/P1pP4/2P5/6PP/5RK1 w - - 0 32,a7c7 e6e3 g1h1 e3f2 h2h3 f2f1,2091,80,91,286,crushing endgame long master,https://lichess.org/nI7rnUTQ#63,
MFhHU,3r4/6k1/3P1qp1/2n2p2/1p1P2P1/rP6/1QPP2B1/2KR3R w - - 1 29,g4f5 a3b3 c2b3 c5d3 c1b1 d3b2,2237,82,89,62,advantage fork long middlegame sacrifice,https://lichess.org/gPGIZeGy#57,
eHj0e,8/p7/1p3k2/2pp1P2/5K2/2P5/PP6/8 b - - 1 36,a7a5 a2a4 c5c4 f4g4 f6e5 g4g5,2108,76,93,722,crushing defensiveMove endgame long pawnEndgame quietMove,https://lichess.org/AuPvcLM3/black#72,
lOyPV,8/8/2P5/1p4P1/5P2/kp2R3/6r1/1K6 w - - 1 56,b1c1 a3a2 e3b3 a2b3,2059,105,84,16,crushing endgame master rookEndgame short,https://lichess.org/5jNYoJrO#111,
XslUZ,3rq1k1/ppR3pp/4pp2/3b4/3P2N1/8/PP3PPP/2Q3K1 b - - 3 22,d5c6 c7g7 g8g7 c1h6 g7g8 g4f6 g8f7 f6e8,1960,75,96,1895,attraction crushing deflection endgame fork sacrifice veryLong,https://lichess.org/UBtgzcFk/black#44,
LFCOL,8/5pp1/p2P1k2/1p2n3/5q2/P1Q5/1K1R4/8 b - - 2 42,f6e6 d6d7 e5d7 c3c6,2206,93,83,33,advancedPawn advantage endgame short,https://lichess.org/SA7bynNd/black#84,
REoKZ,4r2k/1p3pbp/2bp2pn/p2N4/4nPP1/1B1RB2P/P1K3R1/8 w - - 2 29,e3d4 a5a4 b3c4 b7b5 d4g7 h8g7 c4b5 c6b5,2245,80,91,693,crushing middlegame trappedPiece veryLong,https://lichess.org/oOPTl3IL#57,
2YyNE,3r4/R7/4k3/6p1/2p1Nb2/2P2P1P/Pr4K1/4R3 w - - 0 35,g2g1 f4e3 e4f2 d8d3,2398,83,85,62,crushing endgame master pin short,https://lichess.org/vfkr0MV6#69,
OKWhK,4rrk1/6pp/R7/4nq2/1P3p2/P4QP1/4PPNP/5RK1 w - - 1 31,f3f4 f5c8 b4b5 f8f4,1909,76,78,98,advantage discoveredAttack middlegame short,https://lichess.org/tIbxnTlY#61,
nTTce,r4rk1/1b2bppp/pq1p1n2/1p2p1B1/3NPP2/P1NP4/1P3QPP/3R1RK1 w - - 0 16,f4e5 f6g4 g5e7 g4f2,2116,87,91,4064,advantage middlegame short,https://lichess.org/ndPZZeZt#31,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
dFNmQ,r3r1k1/p1p1bppp/5n2/1q1P2Nb/3Q4/1P3P2/PB4PP/RN2R1K1 w - - 1 17,g5e4 e7c5 d4c5 b5c5 e4c5 e8e1,2032,75,87,295,advantage long middlegame pin,https://lichess.org/UuN0KGSN#33,Ruy_Lopez Ruy_Lopez_Berlin_Defense
