PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
j4E8U,8/3k1P2/p2p4/6Np/p1p4P/2P5/PP1Nr3/2K2n1b w - - 0 35,f7f8q e2e1 c1c2 f1e3,1490,76,88,1415,endgame mate mateIn2 short,https://lichess.org/miU8B8N4#69,
fPubl,r2k2r1/ppqn4/2pb1n2/3p3p/2PPp3/1P2P2B/P2N2PP/R1B1QRK1 w - - 3 18,e1h4 d6h2 g1h1 h2g3 h4f6 d7f6,1437,75,83,327,crushing long middlegame trappedPiece,https://lichess.org/yUeufiqF#35,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
hmRaM,8/3Q4/5pk1/6pp/P7/6PK/4q2P/8 w - - 2 55,d7b5 g5g4 h3h4 e2h2,1488,76,86,152,deflection endgame mate mateIn2 queenEndgame short,https://lichess.org/brLtturX#109,
mX324,1r4k1/1q3ppp/3p3P/1r3N2/p5P1/5n2/PP2QR2/1K1R4 b - - 1 31,f3e5 f5d6 b5b2 e2b2,1487,76,93,1091,crushing fork master middlegame short,https://lichess.org/ggT5HfMF/black#62,
s4kjb,4r3/pp1R1kpp/4p3/7P/8/P2Q1P2/2r2qPK/2B5 b - - 3 32,e8e7 d7e7 f7f6 c1g5 f6g5 e7g7,1573,87,52,64,attraction crushing deflection endgame long,https://lichess.org/aoBxRicl/black#64,
SuPlN,8/8/3k2pp/p1p2P2/P3K1P1/1P6/8/8 b - - 0 45,g6f5 e4f5 h6h5 g4h5,1628,79,93,1873,crushing endgame pawnEndgame short,https://lichess.org/DMimFUka/black#90,
6elpG,8/5pk1/3p3p/2pPq1p1/2P3P1/3Q1P1P/6K1/8 w - - 1 37,d3e4 e5e4 f3e4 g7f6 g2f3 f6e5,1671,76,82,142,crushing endgame long queenEndgame,https://lichess.org/zmcnDI7I#73,
2hOCs,4r1k1/3q1pb1/3p2b1/p1pN2B1/1p5Q/1P1P4/1PP4P/5RK1 b - - 1 23,g7d4 h4d4 c5d4 d5f6 g8g7 f6d7,1779,91,80,50,crushing fork long middlegame sacrifice,https://lichess.org/EjDzYFta/black#46,
HueEU,2r3k1/5p1p/3p2pP/p2Pp3/2q1P1P1/2b2Q2/5P2/2R3K1 b - - 0 36,c4b4 f3f6 g8f8 f6h8 f8e7 h8c8,1672,75,96,1926,crushing endgame long skewer,https://lichess.org/pO9204zW/black#72,
YXTrx,r3k2r/1bqp1ppp/p1n1pn2/b7/1p2P3/PNN1BP2/1PPQB1PP/2KR3R w kq - 0 13,b3a5 b4c3 d2c3 c7a5 c3a5 c6a5,1656,75,90,1186,advantage intermezzo long middlegame,https://lichess.org/bmWeEjbK#25,Sicilian_Defense Sicilian_Defense_Taimanov_Variation
5npms,4r1k1/pb4b1/5pp1/3p4/Q1pP2q1/2P3B1/P5BP/5R1K b - - 1 30,e8e2 g2f3 g4e6 f3e2,1760,94,88,47,crushing fork middlegame short,https://lichess.org/Umfiml4J/black#60,
cfYD8,r1b2rk1/ppp3pp/2n2n2/2b1pP1q/8/3B1N1P/PPPN1PP1/R1BQR1K1 w - - 3 11,f3e5 h5d1 d3c4 g8h8 e5f7 f8f7,1672,78,91,434,advantage long opening,https://lichess.org/q8ay2QoI#21,Zukertort_Opening Zukertort_Opening_Black_Mustang_Defense
xRsRS,4Q3/1pk2p2/p1p4p/3nRr2/2KP4/1P4r1/P7/8 b - - 9 43,f5e5 e8e5 c7d7 e5g3,1428,75,78,167,crushing endgame fork short,https://lichess.org/PLHk17hu/black#86,
lrLpA,r2q1r1k/2pb1ppp/p3pb1B/1p2N3/2PP2Q1/6R1/P1P2PPP/R5K1 b - - 3 17,g7h6 g4g8 f8g8 e5f7,1703,74,85,123,cornerMate deflection kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/VT1uyRHe/black#34,Scandinavian_Defense Scandinavian_Defense_Modern_Variation
