PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
aP9TX,2r1r1k1/1pqb1ppp/p1n1pn2/6N1/P2P4/B2BP3/2Q2PPP/2R2RK1 b - - 10 17,h7h6 d3h7 f6h7 c2h7,958,93,95,2784,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/HFvtN72M/black#34,Nimzo-Indian_Defense Nimzo-Indian_Defense_Three_Knights_Variation
PnVrg,rn1r2k1/pp1P1ppp/2p5/6q1/1PB1Q2n/B1P4b/P4PPP/3R1RK1 b - - 0 20,h3g2 e4e8 d8e8 d7e8q,1124,80,94,11028,advancedPawn kingsideAttack mate mateIn2 middlegame promotion short,https://lichess.org/myMAHWB9/black#40,
veYHk,3r2k1/3P1ppp/5b2/pp6/8/5BPP/4RP2/6K1 b - - 0 38,b5b4 e2e8 d8e8 d7e8q,991,164,67,22,advancedPawn endgame mate mateIn2 promotion short,https://lichess.org/Bf6eLV96/black#76,
ySysC,rn1qr1k1/ppp2ppp/5n2/3b4/1bP5/2N2N2/PP2BPPP/R1BQK2R b KQ - 1 9,d5c4 d1d8 b4c3 b2c3 e8d8 e2c4,1384,75,95,14617,crushing long opening,https://lichess.org/mCGfu99Y/black#18,Scandinavian_Defense Scandinavian_Defense_Icelandic-Palme_Gambit
r4o5f,4k3/2r2pp1/Q1p1p3/p2qP2r/Pp6/8/2P2RPP/5R1K b - - 5 27,d5e5 a6a8 e8e7 f2f7,1053,77,85,91,crushing endgame short,https://lichess.org/SiTXCXBi/black#54,
B5BZP,r3kb1r/pb3ppp/4p3/8/2Rq4/P5B1/3N1PPP/3QK2R b Kkq - 2 17,d4d3 d1a4 d3d7 a4d7 e8d7 c4c7 d7e8 c7b7,1289,73,95,28391,advantage attraction fork middlegame veryLong,https://lichess.org/nhq5mI60/black#34,Sicilian_Defense Sicilian_Defense_Alapin_Variation
5L4B4,r3Rk2/pp6/5PQ1/8/8/2q5/P5PP/7K b - - 0 33,a8e8 g6g7,1024,75,87,237,endgame mate mateIn1 oneMove,https://lichess.org/fWFadRiB/black#66,
tL07T,8/6pk/7p/R5P1/1r5K/7P/8/8 w - - 1 47,h4h5 g7g6,1341,124,67,47,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/LJP6yQT9#93,
UKKGD,6rk/pp6/2b1pq1p/2P1Rpr1/1P3Q2/2P4P/P1B1R1P1/6K1 w - - 3 31,e5e6 g5g2 e2g2 g8g2 g1f1 f6e6,1380,74,86,649,crushing fork long middlegame,https://lichess.org/pdItYldz#61,
lkKer,7k/p2r2pp/8/8/4p3/1N6/PPP4P/1K3B2 w - - 0 27,a2a3 d7d1 b3c1 d1f1,987,99,88,51,crushing endgame fork short,https://lichess.org/hoQMNadp#53,
7XRHe,8/ppp3pk/3p1p2/P2P4/1P1b4/4R2P/4R1Bq/5K2 b - - 5 39,d4e3 g2e4 h7h6 e2h2,1113,78,95,937,advantage discoveredAttack endgame master short,https://lichess.org/F8HuPuR3/black#78,
eJ1lE,8/p2k2p1/6b1/1p1pP2r/2pP4/P4PQ1/1q4P1/R5KR w - - 0 35,a1e1 b2d4 g3f2 h5h1 g1h1 d4f2,1279,76,98,624,crushing endgame long,https://lichess.org/dUHBmK3A#69,
