PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
OPDod,r1b1r1k1/ppp1qpp1/3b1n1p/3PN3/2Bn1B1P/2NP4/PPP2PP1/R2QR1K1 w - - 1 12,e5f3 d4f3 d1f3 e7e1 a1e1 e8e1 g1h2 f6g4 h2g3 g4e5,2479,84,77,101,advantage kingsideAttack opening veryLong,https://lichess.org/ar5xDJ2j#23,Italian_Game Italian_Game_Giuoco_Pianissimo
JRUcC,6k1/1p4P1/2p5/p2pq3/P3p1rp/1B3rPR/2P1QPK1/7R w - - 0 29,c2c4 h4g3 h3h8 g8g7 h1h7 g7g6,2716,100,89,132,crushing long middlegame,https://lichess.org/J3ArAAOK#57,
H6uJS,r4rk1/2p2ppp/1n6/p7/4N3/2P2Q2/1q3PPP/R4RK1 b - - 3 21,b6d5 f1b1 b2c2 f3f5 d5e3 f2e3,2604,113,89,631,advantage long middlegame,https://lichess.org/bdwhRpAz/black#42,
KngrU,4rk2/1p5p/4PP2/p2P4/7P/2PKR3/r7/8 b - - 0 37,a5a4 f6f7 e8e7 d5d6 e7e6 e3e6,2534,87,85,185,advancedPawn crushing endgame long rookEndgame trappedPiece,https://lichess.org/bSVftjHK/black#74,
V1Kfo,2r1r2k/3Rq1pp/1pP1N3/p3Qp2/4nP2/4P3/6PP/2R3K1 b - - 9 32,e7f6 c6c7 f6e5 f4e5,2424,91,90,1850,advancedPawn crushing middlegame short,https://lichess.org/OexChYzz/black#64,
1UM8P,r3r1k1/pb1q1p1p/1p4p1/2p5/P1B4P/2n1PNQ1/5PP1/R4RK1 b - - 2 23,c3a4 f1d1 d7e7 a1a4,2411,91,80,47,advantage middlegame short,https://lichess.org/2LLGhjyg/black#46,
yDtLD,5r2/2Q1N1pk/1p1p3p/1P3b2/2PP4/5pP1/3q1P1P/R5K1 w - - 3 31,c7d6 f8a8 a1f1 d2e2 d6e5 e2f1 g1f1 a8a1,2710,87,99,160,attraction crushing endgame sacrifice veryLong,https://lichess.org/XOdBgFP6#61,
Memhy,8/p7/2p1p1k1/1p2P1pp/PP2K3/2P2P1P/8/8 w - - 0 40,a4b5 c6b5 e4d4 g6f5 d4c5 a7a6 c3c4 b5c4 c5c4 f5e5 b4b5 a6b5,2491,90,82,312,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/n2RasLe7#79,
mp4T7,6k1/1pN2pp1/7p/p2Pr2q/2P2n2/PQ5P/1P3P2/3R1B1K w - - 1 29,d1d4 e5e1 h1h2 h5e5 d4f4 e5f4,2432,78,67,79,advantage clearance fork long middlegame pin,https://lichess.org/O9BuG9xf#57,
QujKP,8/6p1/2k2p1p/1p6/1P2K2P/P5P1/8/8 b - - 1 40,g7g5 h4g5 f6g5 g3g4 c6d6 e4f5 d6d7 f5g6,2565,87,80,59,crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/f71UJI9E/black#80,
